epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7709,1.03274,1.10603,1.44285,0.63599,0.67994,0.64108,0.49833,1.55027,1.67039,2.0423,0.000551669,0.000551669,0.000551669
2,61.1048,1.1265,1.13157,1.47764,0.51748,0.67005,0.59758,0.36546,1.41271,2.23121,2.01444,0.00110722,0.00110722,0.00110722
3,89.9062,1.1661,1.19082,1.51941,0.63481,0.58871,0.65309,0.47499,1.51658,1.66351,2.03805,0.00166228,0.00166228,0.00166228
4,118.583,1.12041,1.12148,1.48421,0.82403,0.75947,0.79304,0.56481,1.28889,1.13458,1.7585,0.00166537,0.00166537,0.00166537
5,147.612,1.076,1.04039,1.43516,0.8165,0.76699,0.80301,0.58465,1.25856,1.27531,1.75071,0.00166411,0.00166411,0.00166411
6,176.707,1.03451,0.96109,1.40909,0.79608,0.71639,0.75586,0.56414,1.32714,1.17436,1.8429,0.00166248,0.00166248,0.00166248
7,205.811,1.04526,1.00645,1.41848,0.75257,0.79657,0.82161,0.61562,1.15543,1.11348,1.65516,0.00166049,0.00166049,0.00166049
8,234.88,0.9884,0.90202,1.37251,0.84641,0.7965,0.84226,0.62741,1.14554,0.98883,1.634,0.00165815,0.00165815,0.00165815
9,263.607,0.96203,0.89215,1.3552,0.87871,0.81267,0.86867,0.66022,1.08076,0.9627,1.58613,0.00165544,0.00165544,0.00165544
10,292.912,0.96571,0.86079,1.36935,0.83786,0.80997,0.82314,0.63324,1.08687,0.95928,1.56946,0.00165238,0.00165238,0.00165238
11,322.114,0.93012,0.81081,1.33739,0.87025,0.8069,0.84862,0.66089,1.04739,0.92772,1.54331,0.00164897,0.00164897,0.00164897
12,351.087,0.93099,0.80548,1.33422,0.88682,0.8221,0.87577,0.67439,1.00312,0.81774,1.48193,0.0016452,0.0016452,0.0016452
13,380.033,0.89535,0.79261,1.31132,0.87206,0.83827,0.85818,0.68885,0.95678,0.78339,1.48266,0.00164108,0.00164108,0.00164108
14,409.078,0.88935,0.74187,1.30767,0.90898,0.8248,0.8648,0.69741,0.97736,0.76691,1.47253,0.0016366,0.0016366,0.0016366
15,438.604,0.88537,0.74898,1.30383,0.91299,0.83693,0.88508,0.68511,0.99792,0.73288,1.49745,0.00163178,0.00163178,0.00163178
16,467.702,0.87552,0.74359,1.2979,0.91497,0.86523,0.90475,0.711,0.99127,0.6802,1.47701,0.00162661,0.00162661,0.00162661
17,496.577,0.88516,0.73996,1.29617,0.90355,0.81267,0.88305,0.69039,0.99781,0.74586,1.48595,0.0016211,0.0016211,0.0016211
18,525.474,0.86302,0.7235,1.28987,0.91596,0.86523,0.90773,0.7272,0.91973,0.67261,1.41547,0.00161525,0.00161525,0.00161525
19,554.477,0.89076,0.71818,1.29684,0.90322,0.84906,0.89884,0.71474,0.93596,0.66088,1.45488,0.00160905,0.00160905,0.00160905
20,583.084,0.86302,0.69845,1.28804,0.93462,0.83558,0.90751,0.72496,0.93148,0.62996,1.40094,0.00160252,0.00160252,0.00160252
